	Inchikey		 zero-point	      Enthalpy		  Free-energy
RCTBAXSXJSMBPW-IHWYPQMZSA-N    -343.39721100        -343.38888800        -343.42815100       
BLCYQHVXVAUROS-UHFFFAOYSA-N    -342.19607500        -342.18781100        -342.22742400       
GZTMCZAOQTVOJK-UHFFFAOYSA-N    -342.32295000        -342.31761200        -342.35102800       
KYKDRUWGNWYQSD-GSVOUGTGSA-N    -343.41435900        -343.40773400        -343.44356900       
IJNJLGFTSIAHEA-UHFFFAOYSA-N    -190.62071200        -190.61549500        -190.64663500       
SCKXCAADGDQQCS-UHFFFAOYSA-N    -264.85366600        -264.84819600        -264.88018400       
WSMYVTOQOOLQHP-UHFFFAOYSA-N    -267.08995400        -267.08338200        -267.11989000       
CCGKOQOJPYTBIH-UHFFFAOYSA-N    -152.57562100        -152.57115100        -152.59923400       
KQBSGRWMSNFIPG-UHFFFAOYSA-N    -343.32494600        -343.31928000        -343.35304900       
NTKXXOVKNHRVFH-UHFFFAOYSA-N    -342.20048200        -342.19281600        -342.23150500       
OKKJLVBELUTLKV-UHFFFAOYSA-N    -115.67389800        -115.66963800        -115.69664500       
HGINCPLSRVDWNT-UHFFFAOYSA-N    -191.86240500        -191.85710100        -191.88869500       
ADWDSLXSJIQCLO-UHFFFAOYSA-N    -343.38880100        -343.38076800        -343.41980600       
IBUUTJXYQBSDLG-GSVOUGTGSA-N    -342.21856400        -342.21139300        -342.24856300       
WSFSSNUMVMOOMR-UHFFFAOYSA-N    -114.48207900        -114.47826700        -114.50374800       
VGGSQFUCUMXWEO-UHFFFAOYSA-N    -78.54218000         -78.53819300         -78.56436900        
ILHIHKRJJMKBEE-UHFFFAOYSA-N    -230.09699800        -230.09060800        -230.12474600       
YQTVBZHHWNMNKX-UHFFFAOYSA-N    -191.81882400        -191.81325800        -191.84527200       
JQYCTVDOASYZPW-UHFFFAOYSA-N    -343.37728900        -343.36838300        -343.40942700       
JMCRDEBJJPRTPV-UPHRSURJSA-N    -228.97246200        -228.96683700        -228.99921000       
WGCNASOHLSPBMP-UHFFFAOYSA-N    -228.99069000        -228.98523700        -229.01736600       
MFRMAQFRVTUENW-UHFFFAOYSA-N    -342.31387100        -342.30670200        -342.34421100       
BDAGIHXWWSANSR-UHFFFAOYSA-N    -189.72750500        -189.72332000        -189.75159700       
ABADUMLIAZCWJD-UHFFFAOYSA-N    -267.05550100        -267.05094100        -267.08192500       
OAKURXIZZOAYBC-UHFFFAOYSA-N    -342.34074700        -342.33353100        -342.37198600       
UOQFZGVGGMHGEE-UHFFFAOYSA-N    -343.51095000        -343.50293900        -343.54193900       
TYHAKDYPQPKQNT-UHFFFAOYSA-N    -342.20308700        -342.19544600        -342.23367300       
GMSHJLUJOABYOM-OWOJBTEDSA-N    -267.08497000        -267.07881800        -267.11297200       
QRFGDGZPNFSNCE-UHFFFAOYSA-N    -267.08612600        -267.08022300        -267.11385000       
LGAKZZVAQHLFSN-HNQUOIGGSA-N    -343.38396600        -343.37561700        -343.41560900       
NIXOWILDQLNWCW-UHFFFAOYSA-N    -267.09816000        -267.09201700        -267.12657700       
IKHGUXGNUITLKF-UHFFFAOYSA-N    -153.78273800        -153.77853600        -153.80709700       
LONYOMRPNGXPGP-UHFFFAOYSA-N    -228.98447800        -228.97874600        -229.01132200       
PQLKATRRSMAICE-UHFFFAOYSA-N    -343.38377300        -343.37555600        -343.41474900       
PGFFOFVQECSWAM-UHFFFAOYSA-N    -343.31786300        -343.30960600        -343.34968900       
ILPFAYDMFRFYRH-UHFFFAOYSA-N    -342.19527300        -342.18940100        -342.22359700       
JYVNDCLJHKQUHE-UHFFFAOYSA-N    -343.52703100        -343.51910500        -343.55864600       
AIJULSRZWUXGPQ-UHFFFAOYSA-N    -267.09638600        -267.09054000        -267.12452900       
SAFQYXYVTVQFLR-HNQUOIGGSA-N    -342.21050600        -342.20285000        -342.24128600       
XLYOFNOQVPJJNP-UHFFFAOYSA-N    -76.40147700         -76.39769800         -76.41979300        
QFXZANXYUCUTQH-UHFFFAOYSA-N    -152.51128300        -152.50650800        -152.53469100       
SEAQMSNJJRSVHR-VKHMYHEASA-N    -343.33487000        -343.32818100        -343.36415400       
CZPZWMPYEINMCF-UHFFFAOYSA-N    -343.43579100        -343.42759100        -343.46711100       
FFKOOHTVEFQHQL-NSCUHMNNSA-N    -343.39612100        -343.38774500        -343.42731500       
UIMKFJNCWQSTFN-UHFFFAOYSA-N    -343.29680600        -343.28850900        -343.32882400       
BJZRPPPHLTTXMO-UHFFFAOYSA-N    -265.89742800        -265.89159700        -265.92517800       
IEZWOVIWXFLQTP-UHFFFAOYSA-N    -228.88688500        -228.88100700        -228.91401900       
AHVMEWVKKZKEON-UHFFFAOYSA-N    -343.32072000        -343.31269900        -343.35160100       
LQBLZPJRKONGBA-UHFFFAOYSA-N    -343.30703200        -343.29891800        -343.33856400       
GSJFXBNYJCXDGI-UHFFFAOYSA-N    -343.51466000        -343.50666500        -343.54579600       
TXHBRKKPPAECNB-UHFFFAOYSA-N    -343.40183600        -343.39529600        -343.43124200       
GGDMYFBTCOEIGD-UHFFFAOYSA-N    -343.36269200        -343.35464400        -343.39450700       
JCTHKUNMWCUDLH-UHFFFAOYSA-N    -342.26287600        -342.25544300        -342.29366100       
UYLUJGRCKKSWHS-UHFFFAOYSA-N    -191.86121700        -191.85553200        -191.88805000       
IWNTYRFNMKHRER-NSCUHMNNSA-N    -343.37742700        -343.36920800        -343.40856600       
ALRHLSYJTWAHJZ-UHFFFAOYSA-N    -343.51675600        -343.50889600        -343.54817000       
PHMDMSMEYYVXLZ-UPHRSURJSA-N    -343.47120300        -343.46406000        -343.50115700       
TURAMGVWNUTQKH-UHFFFAOYSA-N    -190.62859300        -190.62306100        -190.65469500       
BKPYNUMZCRWPTG-UHFFFAOYSA-N    -340.98605800        -340.97876900        -341.01642100       
MEUKEBNAABNAEX-UHFFFAOYSA-N    -190.80585400        -190.80053900        -190.83140800       
PHILMFQVUWCHOQ-UHFFFAOYSA-N    -342.24758100        -342.24165600        -342.27599800       
NVXLIZQNSVLKPO-UHFFFAOYSA-N    -342.29433200        -342.28657100        -342.32660000       
LSIGHSKIPNHVEN-UHFFFAOYSA-N    -343.41684700        -343.40855500        -343.44841200       
GFJVXXWOPWLRNU-UHFFFAOYSA-N    -267.08656000        -267.08044200        -267.11485000       
