Product list for reactant/KHP.xyz
Index      Indicator                      N-adj_mats      Pathways                                                                                            
1          OOCOC=C                        8               [(0, [0]), (3, [0, 1, 2]), (7, [3, 4, 5, 6]), (12, [3, 7]), (19, [0])]                              
2          CC(=O)COO                      6               [(0, [0]), (3, [0, 1, 2, 3]), (6, [4]), (9, [5]), (10, [1])]                                        
3          COO.C=C=O                      5               [(0, [0]), (1, [0]), (2, [0, 1, 2, 3]), (6, [4]), (10, [0]), (20, [0, 1])]                          
4          C=O.OCC=O                      9               [(0, [0]), (5, [0, 1, 2]), (6, [0, 3, 4]), (12, [5]), (14, [0, 3, 5, 6]), (17, [0, 5, 7]), (21, [0, 8])]
5          OCOCC=O                        6               [(0, [0]), (4, [0, 1, 2]), (6, [2, 3, 4]), (15, [0, 3]), (17, [1]), (21, [5])]                      
6          COOCC=O                        6               [(0, [0]), (2, [1]), (3, [2]), (4, [0]), (5, [3]), (9, [4]), (11, [0, 3]), (18, [5])]               
7          C=C.OOC=O                      8               [(0, [0]), (1, [1, 2]), (8, [0, 3]), (10, [0, 4, 5]), (12, [0, 4]), (17, [0]), (18, [3, 6, 7])]     
8          C=CC=O.OO                      7               [(0, [0, 1]), (7, [0, 1, 2, 3]), (9, [0, 4, 5]), (12, [2, 6]), (13, [0, 4]), (21, [0])]             
9          C[C@H](C=O)OO                  14              [(0, [0, 1, 2, 3]), (2, [4, 5]), (6, [6, 7]), (8, [0, 6]), (10, [8, 9]), (11, [6, 7, 10, 11]), (12, [2, 4]), (18, [12, 13]), (21, [6])]
10         CCC(=O)OO                      7               [(0, [0]), (2, [1]), (3, [0]), (7, [0, 1]), (9, [2]), (11, [3, 4]), (18, [5]), (24, [4]), (25, [4, 6])]
11         CCC=O.O=O                      4               [(0, [0]), (6, [0]), (9, [1]), (10, [2]), (18, [3])]                                                
12         OOC=C.C=O                      10              [(0, [0, 1]), (1, [2, 3]), (4, [3]), (7, [0, 1, 4, 5]), (8, [4, 6]), (9, [4, 7, 8]), (13, [0, 9])]  
13         OO/C=C/C=O.[H][H]              9               [(0, [0, 1, 2, 3]), (8, [0, 2, 4, 5]), (12, [0, 1, 6, 7]), (20, [6, 8])]                            
14         O=CCC=O.O                      3               [(0, [0, 1]), (4, [0, 1]), (15, [0, 2])]                                                            
15         O=CCC(O)O                      11              [(0, [0, 1]), (5, [0, 1]), (14, [0, 2, 3, 4]), (21, [5, 6, 7]), (22, [4, 8]), (24, [9, 10])]        
